2455480.529186	-10482.960657	0.485677	1	1
2455480.532970	-10481.678693	0.440084	1	1
2455480.536778	-10480.431449	0.465046	1	1
2455482.554786	-10476.128743	0.353905	1	1
2455484.542056	-10475.755433	0.514319	1	1
2455484.545828	-10473.332240	0.532707	1	1
2455484.549671	-10474.438386	0.508347	1	1
2455485.527184	-10473.605978	0.432034	1	1
2455485.532971	-10471.997247	0.445706	1	1
2455487.543214	-10473.844627	0.404437	1	1
2455487.548897	-10473.904015	0.401767	1	1
2455493.544252	-10479.814585	0.396600	1	1
2455493.550478	-10480.900282	0.405220	1	1
2455495.535877	-10480.826331	0.401246	1	1
2455495.541664	-10480.647538	0.425418	1	1
2455498.517820	-10479.650410	0.663846	1	1
2455498.523445	-10478.978096	0.600098	1	1
2455500.544007	-10479.588979	0.341836	1	1
2455500.549389	-10479.646223	0.372174	1	1
2455501.547102	-10479.228913	0.302659	1	1
2455501.552738	-10480.110772	0.289222	1	1
2455505.514789	-10479.788974	0.344263	1	1
2455505.520425	-10479.398339	0.340728	1	1
2455507.517142	-10482.165859	0.264981	1	1
2455507.522824	-10483.868821	0.270208	1	1
2455509.518050	-10482.136940	0.380261	1	1
2455509.523524	-10481.842165	0.354765	1	1
2455511.516449	-10481.051242	0.398498	1	1
2455511.521935	-10481.318563	0.396662	1	1
2455513.504562	-10476.804338	0.418335	1	1
2455513.510244	-10476.668251	0.441085	1	1
2455514.505835	-10478.206203	0.335906	1	1
2455514.511356	-10477.524806	0.341716	1	1
2455519.503938	-10474.517329	0.516685	1	1
2455519.508811	-10473.971305	0.498073	1	1
2455523.508036	-10476.567096	0.414917	1	1
2455523.513036	-10476.426565	0.432885	1	1
2455524.521481	-10476.409103	0.333974	1	1
2455524.526446	-10475.818731	0.339194	1	1
2455653.900831	-10479.122782	0.372304	1	1
2455653.906410	-10477.502514	0.368097	1	1
2455654.900357	-10477.529507	0.407058	1	1
2455654.905936	-10476.951630	0.365708	1	1
2455657.909222	-10477.608535	0.302855	1	1
2455657.914813	-10478.050098	0.315866	1	1
2455659.907949	-10477.046490	0.384743	1	1
2455659.913540	-10478.198534	0.401510	1	1
2455660.901884	-10478.330760	0.251174	1	1
2455662.902485	-10478.461597	0.474458	1	1
2455662.908180	-10479.019990	0.454621	1	1
2455663.839263	-10481.021871	0.868606	1	1
2455672.897729	-10477.289791	0.326960	1	1
2455672.902775	-10477.128218	0.300639	1	1
2455675.905453	-10479.983143	0.211350	1	1
2455679.879903	-10481.249420	0.252289	1	1
2455679.885123	-10482.070814	0.256851	1	1
2455712.893679	-10477.596372	0.280177	1	1
2455715.864679	-10473.715742	0.681733	1	1
2455715.867376	-10473.898980	0.709421	1	1
2455715.869992	-10473.445162	0.718389	1	1
2455715.872747	-10473.903696	0.742414	1	1
2455727.859452	-10475.357665	0.528199	1	1
2455727.863145	-10476.960737	0.516663	1	1
2455727.866953	-10477.060026	0.559742	1	1
2455735.809170	-10480.718295	0.263016	1	1
2455754.777241	-10475.455016	0.545675	1	1
2455755.755721	-10477.021535	0.384396	1	1
2455769.736300	-10478.718338	0.338766	1	1
2455769.742075	-10479.209949	0.385157	1	1
2455776.628483	-10477.854877	0.356174	1	1
2455782.624998	-10477.234320	0.380536	1	1
2455784.737667	-10473.119634	0.272683	1	1
2455801.526698	-10477.714254	0.636570	1	1
2455801.531628	-10478.348482	0.588581	1	1
2455804.632333	-10479.889141	0.560283	1	1
2455804.637669	-10479.356651	0.516075	1	1
2455807.626267	-10477.952953	0.482855	1	1
2455807.631162	-10477.762393	0.443292	1	1
2455810.581550	-10481.002505	0.377097	1	1
2455810.586723	-10480.282556	0.398696	1	1
2455816.587002	-10476.284284	0.479893	1	1
2455816.590578	-10475.380232	0.444942	1	1
2455816.594154	-10476.257023	0.438232	1	1
2455834.622073	-10480.909706	0.288686	1	1
2455834.627593	-10481.704100	0.288262	1	1
2455836.585712	-10482.497452	0.340261	1	1
2455836.591440	-10483.216344	0.339568	1	1
2455839.585007	-10480.984122	0.455066	1	1
2455839.590794	-10480.862232	0.459884	1	1
2455842.549547	-10475.984718	0.533150	1	1
2455842.555033	-10475.769563	0.436601	1	1
2455845.575633	-10472.970844	0.533869	1	1
2455845.581258	-10473.156417	0.461200	1	1
2455870.498785	-10481.818484	0.365314	1	1
2455870.504422	-10481.151885	0.359240	1	1
2455874.532217	-10477.728868	0.513797	1	1
2455874.537437	-10475.674380	0.695338	1	1
2455878.549549	-10474.975638	0.680478	1	1
