#epoch value error jitter_flag offset_flag subset_flag
  59333.151961       -0.861     9.672      0   0   -1
  59333.152667       -0.510     10.377     0   0   -1
  59333.153373       3.311      10.505     0   0   -1
  59336.044295       3.816      10.265     0   0   -1
  59336.045745       8.472      10.503     0   0   -1
  59336.046451       3.493      10.645     0   0   -1
  59337.054588       6.235      11.552     0   0   -1
  59337.055294       3.957      11.645     0   0   -1
  59337.055999       7.808      11.790     0   0   -1
  59338.142666       0.000      10.103     0   0   -1
  59338.143375       2.067      9.615      0   0   -1
  59338.144784       -1.357     10.186     0   0   -1
  59339.164449       -4.436     9.908      0   0   -1
  59339.165155       -5.405     10.580     0   0   -1
  59339.166567       -2.834     10.402     0   0   -1
  59340.102238       0.076      10.481     0   0   -1
  59340.103650       -2.663     9.961      0   0   -1
  59340.104356       -0.631     10.235     0   0   -1
  59341.060305       -1.843     11.610     0   0   -1
  59341.061717       -4.246     10.959     0   0   -1
  59341.062423       -0.291     9.970      0   0   -1
  59342.127214       -3.421     9.725      0   0   -1
  59342.128626       -2.435     10.098     0   0   -1
  59342.129333       -1.321     9.438      0   0   -1
  59343.096509       0.989      10.722     0   0   -1
  59343.097921       0.375      10.978     0   0   -1
  59343.098626       1.969      11.259     0   0   -1
  59345.087496       7.218      10.629     0   0   -1
  59345.088908       4.390      11.259     0   0   -1
  59345.089615       4.616      10.911     0   0   -1
  59347.165174       -1.619     10.181     0   0   -1
  59347.165880       -0.660     10.507     0   0   -1
  59347.166589       -1.100     10.936     0   0   -1
  59349.156919       -0.415     10.301     0   0   -1
  59349.159037       -5.982     10.984     0   0   -1
  59349.159743       -1.584     10.675     0   0   -1
  59351.095299       3.443      11.063     0   0   -1
  59351.096005       2.404      11.055     0   0   -1
  59351.097417       2.901      10.571     0   0   -1
  59352.132027       2.436      10.953     0   0   -1
  59352.134142       -4.019     10.076     0   0   -1
  59352.134848       -0.549     10.905     0   0   -1
  59358.106134       0.914      10.373     0   0   -1
  59358.106840       1.498      10.220     0   0   -1
  59358.108959       -0.296     10.569     0   0   -1
  59359.054266       3.743      9.541      0   0   -1
  59359.056384       2.177      10.403     0   0   -1
  59359.057090       4.065      9.812      0   0   -1
  59360.145042       0.832      9.765      0   0   -1
  59360.146454       -2.788     10.380     0   0   -1
  59360.147195       -1.952     10.251     0   0   -1
